hazard_ratio	followup	stratify	n	w	power
0.5	5	FALSE	50	0.152	0.04
0.5	5	FALSE	60	0.152	0.1205
0.5	5	FALSE	70	0.152	0.2005
0.5	5	FALSE	80	0.152	0.2405
0.5	5	FALSE	90	0.152	0.321
0.5	5	FALSE	100	0.152	0.3675
0.5	5	FALSE	110	0.152	0.407
0.5	5	FALSE	120	0.152	0.4565
0.5	5	FALSE	130	0.152	0.501
0.5	5	FALSE	140	0.152	0.5525
0.5	5	FALSE	150	0.152	0.5695
0.5	5	FALSE	160	0.152	0.611
0.5	5	FALSE	170	0.152	0.642
0.5	5	FALSE	180	0.152	0.6735
0.5	5	FALSE	190	0.152	0.703
0.5	5	FALSE	200	0.152	0.736
0.5	5	FALSE	210	0.152	0.746
0.5	5	FALSE	220	0.152	0.782
0.5	5	FALSE	221	0.152	0.781
0.5	5	FALSE	222	0.152	0.7885
0.5	5	FALSE	223	0.152	0.7805
0.5	5	FALSE	224	0.152	0.787
0.5	5	FALSE	225	0.152	0.7775
0.5	5	FALSE	226	0.152	0.7865
0.5	5	FALSE	227	0.152	0.799
0.5	5	FALSE	228	0.152	0.791
0.5	5	FALSE	229	0.152	0.8065
0.5	5	FALSE	230	0.152	0.814
0.5	5	FALSE	240	0.152	0.8335
0.5	5	FALSE	250	0.152	0.8375
0.5	5	FALSE	260	0.152	0.8515
0.5	5	FALSE	270	0.152	0.8645
0.5	5	FALSE	280	0.152	0.8775
0.5	5	FALSE	290	0.152	0.898
0.5	5	FALSE	300	0.152	0.9105
0.5	15	FALSE	50	0.152	0.3705
0.5	15	FALSE	60	0.152	0.4495
0.5	15	FALSE	70	0.152	0.5275
0.5	15	FALSE	80	0.152	0.5935
0.5	15	FALSE	90	0.152	0.6525
0.5	15	FALSE	100	0.152	0.697
0.5	15	FALSE	110	0.152	0.7355
0.5	15	FALSE	120	0.152	0.785
0.5	15	FALSE	120	0.152	0.7955
0.5	15	FALSE	121	0.152	0.795
0.5	15	FALSE	122	0.152	0.805
0.5	15	FALSE	123	0.152	0.7985
0.5	15	FALSE	124	0.152	0.7985
0.5	15	FALSE	125	0.152	0.823
0.5	15	FALSE	126	0.152	0.806
0.5	15	FALSE	127	0.152	0.8105
0.5	15	FALSE	128	0.152	0.815
0.5	15	FALSE	129	0.152	0.82
0.5	15	FALSE	130	0.152	0.8195
0.5	15	FALSE	130	0.152	0.8215
0.5	15	FALSE	140	0.152	0.853
0.5	15	FALSE	150	0.152	0.884
0.5	15	FALSE	160	0.152	0.911
0.5	15	FALSE	170	0.152	0.9265
0.5	15	FALSE	180	0.152	0.934
0.5	15	FALSE	190	0.152	0.9525
0.5	15	FALSE	200	0.152	0.955
0.5	15	FALSE	210	0.152	0.964
0.5	15	FALSE	220	0.152	0.967
0.5	15	FALSE	230	0.152	0.9845
0.5	15	FALSE	240	0.152	0.974
0.5	15	FALSE	250	0.152	0.9825
0.5	15	FALSE	260	0.152	0.988
0.5	15	FALSE	270	0.152	0.9885
0.5	15	FALSE	280	0.152	0.9925
0.5	15	FALSE	290	0.152	0.9945
0.5	15	FALSE	300	0.152	0.994
0.5	15	FALSE	10	0	0.1945
0.5	15	FALSE	20	0	0.5085
0.5	15	FALSE	30	0	0.6815
0.5	15	FALSE	30	0	0.7285
0.5	15	FALSE	30	0	0.712
0.5	15	FALSE	31	0	0.742
0.5	15	FALSE	32	0	0.729
0.5	15	FALSE	33	0	0.7275
0.5	15	FALSE	34	0	0.7685
0.5	15	FALSE	35	0	0.777
0.5	15	FALSE	36	0	0.7805
0.5	15	FALSE	37	0	0.8095
0.5	15	FALSE	38	0	0.815
0.5	15	FALSE	39	0	0.8205
0.5	15	FALSE	40	0	0.8355
0.5	15	FALSE	40	0	0.844
0.5	15	FALSE	50	0	0.9025
0.5	15	FALSE	60	0	0.954
0.5	15	FALSE	70	0	0.977
0.5	15	FALSE	80	0	0.9885
0.5	15	FALSE	90	0	0.994
0.5	15	FALSE	100	0	0.995
0.5	15	FALSE	110	0	0.998
0.5	15	FALSE	120	0	0.9985
0.5	15	FALSE	130	0	1
0.5	15	FALSE	140	0	1
0.5	15	FALSE	150	0	0.9995
0.5	15	FALSE	160	0	1
0.5	15	FALSE	170	0	1
0.5	15	FALSE	180	0	1
0.5	15	FALSE	190	0	1
0.5	15	FALSE	200	0	1
