0.1	NA	6	59
0.2	21	12	110
0.3	13	22	182
0.4	9	37	291
0.5	7	65	475
0.6	5	120	821
0.7	3	247	1589
0.8	2	631	3850
0.9	1	2828	16434
0.1	NA	6	357
0.2	21	12	666
0.3	14	22	1097
0.4	10	37	1757
0.5	7	65	2866
0.6	5	120	4955
0.7	4	247	9586
0.8	2	631	23196
0.9	1	2828	98897
0.1	NA	6	92
0.2	NA	12	171
0.3	10	22	280
0.4	7	37	449
0.5	5	65	732
0.6	4	120	1267
0.7	3	247	2457
0.8	2	631	5958
0.9	1	2828	25471
0.1	NA	6	59
0.2	21	12	108
0.3	14	22	178
0.4	10	37	285
0.5	7	65	465
0.6	5	120	806
0.7	4	247	1568
0.8	2	631	3816
0.9	1	2828	16384
0.1	NA	6	66
0.2	21	12	123
0.3	14	22	202
0.4	10	37	323
0.5	7	65	527
0.6	5	120	912
0.7	4	247	1767
0.8	2	631	4285
0.9	1	2828	18314
